candidate_id,rank,score,reasoning
CAND_0036184,16,77.1605,"6.0 years experience as a Recommendation Systems Engineer, specializing in Embeddings, FAISS, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, CRED."
CAND_0028793,17,77.0945,"Strong Search Engineer with 7.2 years of experience with hands-on experience in LoRA, Embeddings, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Amazon. However, there is a minor concern on 120-day notice period."
CAND_0012957,18,77.0749,"4.9 years experience as a Search Engineer, specializing in Embeddings, Fine-tuning LLMs, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Mad Street Den. However, there is a minor concern on 120-day notice period."
CAND_0079387,19,76.9526,"6.9 years experience as a AI Engineer, specializing in LoRA, QLoRA, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Ola, BYJU'S."
CAND_0046525,20,76.9118,"6.1 years experience as a Senior Machine Learning Engineer, specializing in Information Retrieval, Elasticsearch, pgvector. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Genpact AI, LinkedIn."
CAND_0071974,21,76.8786,"Strong Senior AI Engineer with 7.8 years of experience with hands-on experience in LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meta, Mad Street Den."
CAND_0031593,22,76.6817,"Strong Search Engineer with 7.8 years of experience with hands-on experience in Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Genpact AI. However, there is a minor concern on 90-day notice period."
CAND_0086151,23,76.6239,"Strong Recommendation Systems Engineer with 7.7 years of experience with hands-on experience in LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Glance, Meta. However, there is a minor concern on 120-day notice period."
CAND_0030348,24,76.6063,"Demonstrated track record of 4.5 years in backend and systems engineering, with focus on Embeddings, Elasticsearch, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, BYJU'S."
CAND_0026532,25,76.5719,"Demonstrated track record of 4.8 years in backend and systems engineering, with focus on LoRA, Embeddings, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Mad Street Den, Zomato. However, there is a minor concern on 90-day notice period."
CAND_0074225,26,76.5607,"4.3 years experience as a Machine Learning Engineer, specializing in Elasticsearch, Semantic Search, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Mad Street Den. However, there is a minor concern on 120-day notice period."
CAND_0081852,27,76.3576,"5.9 years experience as a Senior Data Scientist, specializing in pgvector, LoRA, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Mad Street Den, Nykaa."
CAND_0053695,28,76.3554,"Strong Recommendation Systems Engineer with 5.8 years of experience with hands-on experience in Embeddings, Pinecone, pgvector. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Genpact AI."
CAND_0009024,29,76.2947,"Demonstrated track record of 5.2 years in backend and systems engineering, with focus on LoRA, OpenSearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Aganitha, Google."
CAND_0042506,30,76.2241,"Demonstrated track record of 4.2 years in backend and systems engineering, with focus on FAISS, Semantic Search, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Verloop.io."
CAND_0093912,31,76.2203,"Demonstrated track record of 5.3 years in backend and systems engineering, with focus on Embeddings, Elasticsearch, Vector Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Apple."
CAND_0088025,32,76.1103,"Strong Staff Machine Learning Engineer with 8.6 years of experience with hands-on experience in LoRA, Elasticsearch, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Genpact AI, Yellow.ai. However, there is a minor concern on 90-day notice period."
CAND_0086022,33,76.0003,"Demonstrated track record of 5.3 years in backend and systems engineering, with focus on LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Uber, Sarvam AI."
CAND_0037000,34,75.9904,"Strong Search Engineer with 2.7 years of experience with hands-on experience in Embeddings, Pinecone, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, CRED."
CAND_0064904,35,75.9048,"4.9 years experience as a AI Engineer, specializing in Embeddings, Elasticsearch, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Freshworks, LinkedIn. However, there is a minor concern on 90-day notice period."
CAND_0027691,36,75.8712,"6.5 years experience as a NLP Engineer, specializing in LoRA, Embeddings, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meta, Vedantu."
CAND_0002025,37,75.8133,"Strong Senior AI Engineer with 5.9 years of experience with hands-on experience in FAISS, QLoRA, Fine-tuning LLMs. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Apple, Aganitha."
CAND_0019480,38,75.7785,"Strong NLP Engineer with 2.8 years of experience with hands-on experience in OpenSearch, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Vedantu. However, there is a minor concern on 90-day notice period."
CAND_0049538,39,75.5169,"5.8 years experience as a Applied ML Engineer, specializing in Embeddings, Elasticsearch, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, Zoho."
CAND_0091909,40,75.4263,"Strong Machine Learning Engineer with 6.9 years of experience with hands-on experience in QLoRA, OpenSearch, Pinecone. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meta, Rephrase.ai."
CAND_0039383,41,75.4047,"7.1 years experience as a Applied ML Engineer, specializing in LoRA, Elasticsearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Swiggy. However, there is a minor concern on 90-day notice period."
CAND_0054394,42,75.3703,"Strong Recommendation Systems Engineer with 4.1 years of experience with hands-on experience in Fine-tuning LLMs, Embeddings, Pinecone. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PharmEasy, Netflix."
CAND_0096142,43,75.3217,"5.0 years experience as a Applied ML Engineer, specializing in LoRA, Python, Pinecone. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like BYJU'S, upGrad. However, there is a minor concern on 120-day notice period."
CAND_0081686,44,75.2216,"Demonstrated track record of 6.0 years in backend and systems engineering, with focus on Embeddings, FAISS, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Zoho, Niramai."
CAND_0081846,45,75.2025,"6.7 years experience as a Lead AI Engineer, specializing in Embeddings, Elasticsearch, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Paytm."
CAND_0044222,46,75.1913,"Strong AI Engineer with 7.7 years of experience with hands-on experience in Fine-tuning LLMs, QLoRA, OpenSearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, InMobi."
CAND_0018722,47,75.1444,"6.6 years experience as a Recommendation Systems Engineer, specializing in Python, Weaviate. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Saarthi.ai. However, there is a minor concern on 90-day notice period."
CAND_0075439,48,75.0638,"Strong Machine Learning Engineer with 4.3 years of experience with hands-on experience in LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Genpact AI, Flipkart."
CAND_0084819,49,75.043,"4.5 years experience as a Search Engineer, specializing in LoRA, Semantic Search, Information Retrieval. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Dream11. However, there is a minor concern on 120-day notice period."
CAND_0040887,50,75.0186,"Strong Machine Learning Engineer with 4.7 years of experience with hands-on experience in LoRA, Python, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Netflix."
CAND_0010257,51,75.0067,"6.5 years experience as a Senior Data Scientist, specializing in Milvus, Python, OpenSearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PharmEasy, Google. However, there is a minor concern on 120-day notice period."
CAND_0046064,52,74.9482,"Demonstrated track record of 8.9 years in backend and systems engineering, with focus on Elasticsearch, Semantic Search, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Salesforce, Amazon."
CAND_0066376,53,74.9191,"Strong Applied ML Engineer with 5.7 years of experience with hands-on experience in LoRA, FAISS, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Dream11, Salesforce. However, there is a minor concern on 90-day notice period."
CAND_0047721,54,74.8883,"7.0 years experience as a Senior Data Scientist, specializing in FAISS, Milvus, Information Retrieval. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Microsoft. However, there is a minor concern on 90-day notice period."
CAND_0079284,55,74.7888,"Demonstrated track record of 4.9 years in backend and systems engineering, with focus on QLoRA, Fine-tuning LLMs, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Swiggy, Google."
CAND_0040117,56,74.7869,"6.5 years experience as a Recommendation Systems Engineer, specializing in LoRA, Embeddings, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PhonePe, Salesforce."
CAND_0062247,57,74.6446,"Strong AI Engineer with 7.3 years of experience with hands-on experience in Information Retrieval, Pinecone, Vector Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Dream11, Google."
CAND_0049896,58,74.6231,"Demonstrated track record of 7.3 years in backend and systems engineering, with focus on Fine-tuning LLMs, Information Retrieval, Vector Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Flipkart. However, there is a minor concern on 90-day notice period."
CAND_0006557,59,74.6133,"Demonstrated track record of 7.9 years in backend and systems engineering, with focus on LoRA, Elasticsearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Apple, Paytm. However, there is a minor concern on 120-day notice period."
CAND_0037980,60,74.5337,"9.0 years experience as a Senior Applied Scientist, specializing in LoRA, Information Retrieval Systems, Search Infrastructure. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Salesforce, Niramai."
CAND_0083307,61,74.4182,"Strong Search Engineer with 7.8 years of experience with hands-on experience in pgvector, Embeddings, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Ola, CRED. However, there is a minor concern on 120-day notice period."
CAND_0005260,62,74.3985,"Strong Senior NLP Engineer with 5.2 years of experience with hands-on experience in LoRA, Embeddings, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Yellow.ai, Netflix."
CAND_0054123,63,74.3866,"Strong Applied ML Engineer with 4.7 years of experience with hands-on experience in pgvector, Semantic Search, Fine-tuning LLMs. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meta, CRED."
CAND_0050876,64,74.2798,"Demonstrated track record of 6.0 years in backend and systems engineering, with focus on FAISS, QLoRA, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Yellow.ai. However, there is a minor concern on 90-day notice period."
CAND_0006538,65,74.2691,"5.7 years experience as a AI Specialist, specializing in Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Dream11, PhonePe."
CAND_0050454,66,74.1633,"6.8 years experience as a AI Engineer, specializing in LoRA, FAISS, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Uber, Adobe."
CAND_0042029,67,74.1622,"6.5 years experience as a Senior Data Scientist, specializing in Embeddings, Elasticsearch, OpenSearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Flipkart."
CAND_0030031,68,74.0822,"5.7 years experience as a AI Engineer, specializing in LoRA, Milvus, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Microsoft, Amazon."
CAND_0068811,69,74.0455,"Strong Applied ML Engineer with 8.0 years of experience with hands-on experience in Embeddings, Pinecone, OpenSearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Yellow.ai."
CAND_0036863,70,74.0197,"Demonstrated track record of 4.3 years in backend and systems engineering, with focus on LoRA, OpenSearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Zoho, Wysa."
CAND_0072660,71,73.9945,"Demonstrated track record of 7.1 years in backend and systems engineering, with focus on LoRA, Elasticsearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Unacademy, Adobe."
CAND_0076251,72,73.7876,"Demonstrated track record of 7.6 years in backend and systems engineering, with focus on Fine-tuning LLMs, Elasticsearch, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like CRED, Microsoft."
CAND_0075574,73,73.773,"Demonstrated track record of 5.7 years in backend and systems engineering, with focus on pgvector, Elasticsearch, OpenSearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Observe.AI, Genpact AI."
CAND_0080766,74,73.7674,"Strong Staff Machine Learning Engineer with 8.8 years of experience with hands-on experience in LoRA, Search & Discovery, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Haptik, Salesforce."
CAND_0008425,75,73.7315,"Strong Senior NLP Engineer with 7.8 years of experience with hands-on experience in LoRA, Semantic Search, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Ola, Amazon. However, there is a minor concern on 90-day notice period."
CAND_0070485,76,73.6945,"6.4 years experience as a Search Engineer, specializing in QLoRA, Information Retrieval, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Dream11, Saarthi.ai. However, there is a minor concern on 120-day notice period."
CAND_0081053,77,73.6933,"Demonstrated track record of 5.4 years in backend and systems engineering, with focus on LoRA, Semantic Search, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Salesforce, Glance. However, there is a minor concern on 90-day notice period."
CAND_0052682,78,73.3594,"Strong NLP Engineer with 6.6 years of experience with hands-on experience in Embeddings, FAISS, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Salesforce, Aganitha."
CAND_0020877,79,73.352,"Demonstrated track record of 5.1 years in backend and systems engineering, with focus on Elasticsearch, Milvus, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like BYJU'S, CRED."
CAND_0099806,80,73.3001,"Strong AI Engineer with 4.6 years of experience with hands-on experience in LoRA, Embeddings, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Mad Street Den, upGrad."
CAND_0044855,81,73.2637,"6.6 years experience as a Senior Data Scientist, specializing in Embeddings, QLoRA, Pinecone. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Verloop.io, Flipkart."
CAND_0077285,82,73.2593,"Strong Recommendation Systems Engineer with 5.5 years of experience with hands-on experience in LoRA, Embeddings, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Nykaa, upGrad."
CAND_0003977,83,73.2577,"Strong Recommendation Systems Engineer with 4.6 years of experience with hands-on experience in Embeddings, Semantic Search, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Rephrase.ai, Google."
CAND_0057563,84,73.2081,"6.8 years experience as a NLP Engineer, specializing in QLoRA, OpenSearch, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Zoho, Yellow.ai."
CAND_0011162,85,73.1024,"Demonstrated track record of 5.8 years in backend and systems engineering, with focus on LoRA, Embeddings, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Google. However, there is a minor concern on 90-day notice period."
CAND_0036437,86,73.0311,"Strong Search Engineer with 4.8 years of experience with hands-on experience in Elasticsearch, FAISS, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Ola, Nykaa."
CAND_0098846,87,73.0304,"Strong AI Engineer with 7.6 years of experience with hands-on experience in QLoRA, Qdrant. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Meesho, Swiggy."
CAND_0074735,88,73.0115,"Strong Applied ML Engineer with 5.5 years of experience with hands-on experience in Elasticsearch, Semantic Search, Information Retrieval. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Netflix, Rephrase.ai. However, there is a minor concern on 90-day notice period."
CAND_0006418,89,72.9903,"5.7 years experience as a Machine Learning Engineer, specializing in Embeddings, Elasticsearch, Semantic Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Flipkart, Verloop.io."
CAND_0010603,90,72.9868,"Strong ML Engineer with 5.3 years of experience with hands-on experience in OpenSearch, Information Retrieval, pgvector. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like BYJU'S. However, there is a minor concern on 90-day notice period."
CAND_0070398,91,72.9495,"7.2 years experience as a Machine Learning Engineer, specializing in LoRA, Embeddings, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Uber, Mad Street Den. However, there is a minor concern on 120-day notice period."
CAND_0030827,92,72.9295,"5.4 years experience as a Senior Data Scientist, specializing in Qdrant, Semantic Search, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Glance, Freshworks. However, there is a minor concern on 120-day notice period."
CAND_0095528,93,72.8588,"5.3 years experience as a Senior Data Scientist, specializing in Elasticsearch, Semantic Search, Fine-tuning LLMs. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Adobe, Netflix."
CAND_0037944,94,72.7764,"4.9 years experience as a Senior Data Scientist, specializing in Embeddings, QLoRA, Python. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar, Vedantu."
CAND_0079064,95,72.6883,"5.2 years experience as a Senior Data Scientist, specializing in Semantic Search, Fine-tuning LLMs, QLoRA. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Razorpay, Niramai. However, there is a minor concern on 120-day notice period."
CAND_0014440,96,72.6697,"Strong Recommendation Systems Engineer with 6.4 years of experience with hands-on experience in Elasticsearch, FAISS, Milvus. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like CRED, upGrad."
CAND_0092255,97,72.6308,"5.2 years experience as a ML Engineer, specializing in Semantic Search, OpenSearch, Vector Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like HCL, Saarthi.ai."
CAND_0020708,98,72.5357,"Strong Search Engineer with 4.2 years of experience with hands-on experience in Fine-tuning LLMs, Python, Elasticsearch. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like PolicyBazaar."
CAND_0043228,99,72.4166,"6.8 years experience as a Applied ML Engineer, specializing in pgvector, OpenSearch, Vector Search. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Zoho, Vedantu."
CAND_0078492,100,72.3874,"Strong Recommendation Systems Engineer with 5.1 years of experience with hands-on experience in Qdrant, Elasticsearch, FAISS. Matches the 'product over research' profile, showing strong production ML engineering experience, career tenure at product-focused companies like Adobe, Verloop.io."
